Fiscal Year,Service,Department,Project,Project ID,Fund,Fund Type,Thru FY Actuals,FY Approved
2016,"Environment, Energy & Open Space",Parks and Recreation Department,John Harvard Mall,CPR22436,City Bonds,G.O. Authorization,$0.00,$970000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,John Harvard Mall,CPR22436,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,John Harvard Mall Play Area,CPR23605,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,John Harvard Mall Play Area,CPR23605,City Bonds,G.O. Authorization,$0.00,$450000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Justice Gourdin Veterans' Memorial Park,CPR24003,City Bonds,G.O. Authorization,$0.00,$152000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Justice Gourdin Veterans' Memorial Park,CPR24003,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Kelleher Rose Garden,CPR24007,City Bonds,G.O. Authorization,$0.00,$170000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Kelleher Rose Garden,CPR24007,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,King Street Play Area,CPR24239,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,King Street Play Area,CPR24239,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Langone Park & Puopolo Playground,CPR24218,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Langone Park & Puopolo Playground,CPR24218,City Bonds,G.O. Authorization,$0.00,$2910000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Liberty Tree,CPR22437,City Bonds,G.O. Authorization,$0.00,$130000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Liberty Tree,CPR22437,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Little Scobie Playground,CPR23744,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Little Scobie Playground,CPR23744,City Bonds,G.O. Authorization,$0.00,$598000.00
2016,Health & Human Services,Public Health Commission,Long Island Administration Building,CPH23633,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Public Health Commission,Long Island Administration Building,CPH23633,City Bonds,G.O. Authorization,$0.00,$2400000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Long Island Bridge Replacement,CPW24057,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Long Island Bridge Replacement,CPW24057,City Bonds,G.O. Authorization,$0.00,$35000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Long Island Bridge Replacement,CPW24057,State grant,Capital Grants,$0.00,$4379436.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,LoPresti Playground,CPR23299,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,LoPresti Playground,CPR23299,State grant,Capital Grants,$0.00,$800000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,LoPresti Playground,CPR23299,State grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,LoPresti Playground,CPR23299,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,LoPresti Playground,CPR23299,City Bonds,G.O. Authorization,$0.00,$2875000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Madison Park Village,CPW23996,City Bonds,G.O. Authorization,$0.00,$3050000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Madison Park Village,CPW23996,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Main Street Business District,CPW23997,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Main Street Business District,CPW23997,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Marcella Playground,CPR24010,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Marcella Playground,CPR24010,City Bonds,G.O. Authorization,$0.00,$1660000.00
2016,Public Safety,Fire Department,Marine Unit Dock Replacement at Burroughs Wharf,CFD23871,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,Public Safety,Fire Department,Marine Unit Dock Replacement at Burroughs Wharf,CFD23871,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Mary Hannon Playground,CPR23573,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Mary Hannon Playground,CPR23573,City Bonds,G.O. Authorization,$0.00,$914083.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Mary Hannon Playground Phase II,CPR24313,City Bonds,G.O. Authorization,$0.00,$896000.00
2016,Education,School Department,Masonry Repairs at Various Schools,CPS22706,City Bonds,G.O. Authorization,$0.00,$11918380.12
2016,Education,School Department,Masonry Repairs at Various Schools,CPS22706,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Massachusetts Avenue Bridge at Commonwealth Avenue,CPW20554,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Massachusetts Avenue Bridge at Commonwealth Avenue,CPW20554,State grant,Non Capital Fund,$0.00,$2400000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Massachusetts Avenue Bridge at Commonwealth Avenue,CPW20554,City Bonds,G.O. Authorization,$0.00,$1538974.04
2016,"Streets, Transportation & Sanitation",Public Works Department,Massachusetts Avenue Bridge at Commonwealth Avenue,CPW20554,Federal grant,Non Capital Fund,$0.00,$9600000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Massachusetts Avenue Bridge at Commonwealth Avenue,CPW20554,City Bonds,G.O. Authorization,$0.00,$200000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Mattapan Square,CPW24181,State grant,Capital Grants,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McConnell Park,CPR24235,City Bonds,G.O. Authorization,$0.00,$2337000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McKinney Playground Master Plan,CPR24217,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McLaughlin Playground Upper Terrace,CPR23861,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McLaughlin Playground Upper Terrace,CPR23861,City Bonds,G.O. Authorization,$0.00,$335000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McLaughlin Playground Upper Terrace,CPR23861,Federal grant,Capital Grants,$0.00,$250000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,McLaughlin Playground Upper Terrace,CPR23861,Federal grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Medal of Honor Park & Lee Playground,CPR24231,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Medal of Honor Park & Lee Playground,CPR24231,City Bonds,G.O. Authorization,$0.00,$2010000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Melnea Cass Boulevard,CTD23219,State grant,Non Capital Fund,$0.00,$770000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Melnea Cass Boulevard,CTD23219,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Melnea Cass Boulevard,CTD23219,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Melnea Cass Boulevard,CTD23219,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Melnea Cass Boulevard,CTD23219,Federal grant,Non Capital Fund,$0.00,$3080000.00
2016,Information & Technology,Department of Innovation and Technology,Mobility Solutions,CMS23628,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,Information & Technology,Department of Innovation and Technology,Mobility Solutions,CMS23628,City Bonds,G.O. Authorization,$0.00,$1100000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Monsignor Reynolds Playground,CPR22583,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Monsignor Reynolds Playground,CPR22583,City Bonds,G.O. Authorization,$0.00,$540000.00
2016,Economic Development,Boston Redevelopment Authority,Mt. Vernon Street  Design,CBR23812,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,Mt. Vernon Street  Design,CBR23812,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,State grant,Non Capital Fund,$0.00,$14728056.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,City Bonds,G.O. Authorization,$0.00,$10352500.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,Federal grant,Non Capital Fund,$0.00,$61400000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,State grant,Capital Grants,$0.00,$1277085.97
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,Other funds,Non Capital Fund,$0.00,$1548000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Muddy River,CPR22681,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Municipal Parking Lots,CTD23584,City Bonds,G.O. Authorization,$0.00,$1400000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Municipal Parking Lots,CTD23584,City Bonds,G.O. Authorization,$0.00,$385000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Neighborhood Commons,CPW23597,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Neighborhood Commons,CPW23597,City Bonds,G.O. Authorization,$0.00,$750000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Neighborhood Safety Program,CPW23998,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Neighborhood Safety Program,CPW23998,City Bonds,G.O. Authorization,$0.00,$1500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Non-Participating Fund,CPW21749,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Non-Participating Fund,CPW21749,City Bonds,G.O. Authorization,$0.00,$7717000.00
2016,Arts & Culture,Library Department,North End Branch Library,CLD21306,City Bonds,G.O. Authorization,$0.00,$610000.00
2016,Arts & Culture,Library Department,North End Branch Library,CLD21306,City Bonds,G.O. Authorization,$0.00,$865000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Square,CPW23787,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Square,CPW23787,City Bonds,G.O. Authorization,$0.00,$2500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,Federal grant,Capital Grants,$0.00,$2079601.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,Federal grant,Non Capital Fund,$0.00,$44000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,State grant,Non Capital Fund,$0.00,$11000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,State grant,Capital Grants,$0.00,$1520000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,City Bonds,G.O. Authorization,$0.00,$1668243.00
2016,"Streets, Transportation & Sanitation",Public Works Department,North Washington Street Bridge,CPW22494,City Bonds,G.O. Authorization,$0.00,$6500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Noyes Park,CPR24232,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Noyes Park,CPR24232,City Bonds,G.O. Authorization,$0.00,$1930000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Colony Housing Roadways,CPW23415,City Bonds,G.O. Authorization,$0.00,$4165156.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Colony Housing Roadways,CPW23415,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,Federal grant,Non Capital Fund,$0.00,$11400000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,City Bonds,G.O. Authorization,$0.00,$5000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,Federal grant,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,City Bonds,G.O. Authorization,$0.00,$15000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Old Northern Avenue Bridge,CPW21751,Revenue Calculations,Capital Grants,$0.00,$1032566.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Olmsted Park Landscape Restoration,CPR24242,City Bonds,G.O. Authorization,$0.00,$679000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Paris Street Playground,CPR23601,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Paris Street Playground,CPR23601,City Bonds,G.O. Authorization,$0.00,$850000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Accessibility Evaluation and Asset Study,CPR23574,City Bonds,G.O. Authorization,$0.00,$630000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Accessibility Evaluation and Asset Study,CPR23574,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Equipment,CPR24328,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Equipment,CPR24328,City Bonds,G.O. Authorization,$0.00,$660715.00
2016,Arts & Culture,Library Department,Parker Hill Library,CLD23016,City Bonds,G.O. Authorization,$0.00,$2100000.00
2016,Arts & Culture,Library Department,Parker Hill Library,CLD23016,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,Operations,Property and Construction Management,Parking Lot Improvement,CPM23836,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,Parking Lot Improvement,CPM23836,City Bonds,G.O. Authorization,$0.00,$1400000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Parking Meter Replacements,CTD24320,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Parking Meter Replacements,CTD24320,Other funds,Capital Grants,$0.00,$6000000.00
2016,Operations,Property and Construction Management,Parkman House Building Systems Upgrade,CPM24109,City Bonds,G.O. Authorization,$0.00,$1382000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Parkman Playground,CPR24229,City Bonds,G.O. Authorization,$0.00,$825000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Planning Studies,CPR24020,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Park Planning Studies,CPR24020,City Bonds,G.O. Authorization,$0.00,$70000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Penniman Road Play Area,CPR24161,City Bonds,G.O. Authorization,$0.00,$1737000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Penniman Road Play Area,CPR24161,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Plumbing Improvements at Various Schools,CPS23854,City Bonds,G.O. Authorization,$0.00,$3213946.00
2016,Education,School Department,Plumbing Improvements at Various Schools,CPS23854,City Bonds,G.O. Authorization,$0.00,$1400000.00
2016,Public Safety,Police Department,Police Headquarters Exterior Work,CPD23970,City Bonds,G.O. Authorization,$0.00,$750000.00
2016,Public Safety,Police Department,Police Headquarters Exterior Work,CPD23970,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Police Headquarters HVAC Improvements,CPD23488,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Police Headquarters HVAC Improvements,CPD23488,City Bonds,G.O. Authorization,$0.00,$1775000.00
2016,Public Safety,Police Department,Police Headquarters Study,CPD23869,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Police Headquarters Study,CPD23869,City Bonds,G.O. Authorization,$0.00,$150000.00
2016,Health & Human Services,Boston Center for Youth and Families,Pool Repairs,CCC21611,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Boston Center for Youth and Families,Pool Repairs,CCC21611,City Bonds,G.O. Authorization,$0.00,$3139033.00
2016,Public Safety,Fire Department,Programming Study,CFD24104,City Bonds,G.O. Authorization,$0.00,$125000.00
2016,Housing & Neighborhood Development,Neighborhood Development,Property Demolition,CND24065,Surplus Property,Capital Grants,$0.00,$1750000.00
2016,Housing & Neighborhood Development,Neighborhood Development,Property Demolition,CND24065,Surplus Property,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Public Garden Lagoon,CPR23600,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Public Garden Lagoon,CPR23600,City Bonds,G.O. Authorization,$0.00,$1085427.70
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Public Garden Pathways,CPR23482,City Bonds,G.O. Authorization,$0.00,$550000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Public Garden Pathways,CPR23482,City Bonds,G.O. Authorization,$0.00,$700000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Public Garden Tool Shed ,CPR24136,City Bonds,G.O. Authorization,$0.00,$377000.00
2016,Information & Technology,Department of Innovation and Technology,Public Safety Systems Implementation,CMS23310,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Public Safety Systems Implementation,CMS23310,City Bonds,G.O. Authorization,$0.00,$13700000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Puopolo Field Electrical Repairs,CPR23754,City Bonds,G.O. Authorization,$0.00,$260000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Puopolo Field Electrical Repairs,CPR23754,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Quality Improvement Fund for Schools,CPS23860,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Quality Improvement Fund for Schools,CPS23860,City Bonds,G.O. Authorization,$0.00,$15000000.00
2016,Education,School Department,Quincy Upper Pilot School,CPS24301,State grant,Capital Grants,$0.00,$0.00
2016,Education,School Department,Quincy Upper Pilot School,CPS24301,Other funds,Capital Grants,$0.00,$1700000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Rachel Revere Square,CPR24009,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Rachel Revere Square,CPR24009,City Bonds,G.O. Authorization,$0.00,$387000.00
2016,Public Safety,Fire Department,Radio System Improvements at Fire Alarm,CFD22360,City Bonds,G.O. Authorization,$0.00,$1770000.00
2016,Public Safety,Fire Department,Radio System Improvements at Fire Alarm,CFD22360,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Reservation Road Park,CPR24233,City Bonds,G.O. Authorization,$0.00,$1980000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Reservation Road Park,CPR24233,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Retaining Walls,CPW23414,City Bonds,G.O. Authorization,$0.00,$1200000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Retaining Walls,CPW23414,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Reconstruction,CPW22828,State grant,Capital Grants,$0.00,$25912368.25
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Reconstruction,CPW22828,State grant,Capital Grants,$0.00,$8300000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Reconstruction,CPW22828,City Bonds,G.O. Authorization,$0.00,$5500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Reconstruction,CPW22828,City Bonds,G.O. Authorization,$0.00,$32009497.27
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Resurfacing,CPW22546,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Resurfacing,CPW22546,City Bonds,G.O. Authorization,$0.00,$4550000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Resurfacing,CPW22546,State grant,Capital Grants,$0.00,$15000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Resurfacing,CPW22546,State grant,Capital Grants,$0.00,$28093171.71
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,Other funds,Non Capital Fund,$0.00,$22000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,Other funds,Non Capital Fund,$0.00,$12000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,State grant,Capital Grants,$0.00,$3279408.88
2016,"Streets, Transportation & Sanitation",Public Works Department,Roadway Utility Restoration,CPW22830,State grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Roberts Playground,CPR24011,City Bonds,G.O. Authorization,$0.00,$200000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Roberts Playground,CPR24011,City Bonds,G.O. Authorization,$0.00,$940000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Rogers Park,CPR23212,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Rogers Park,CPR23212,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,Public Safety,Fire Department,"Roof and Masonry Repairs at Engine 4, 14 and 55",CFD23843,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,Public Safety,Fire Department,"Roof and Masonry Repairs at Engine 4, 14 and 55",CFD23843,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,Education,School Department,Roof Replacement at Burke High School,CPS24319,City Bonds,G.O. Authorization,$0.00,$900000.00
2016,Education,School Department,Roof Replacement at Dudley Street Neighborhood School,CPS24078,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Roof Replacement at Dudley Street Neighborhood School,CPS24078,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,Education,School Department,Roof Replacement at Various Schools,CPS22697,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Roof Replacement at Various Schools,CPS22697,City Bonds,G.O. Authorization,$0.00,$7023918.00
2016,Arts & Culture,Library Department,Roslindale Branch Library Renovation,CLD24197,City Bonds,G.O. Authorization,$0.00,$6700000.00
2016,Arts & Culture,Library Department,Roslindale Branch Library Renovation,CLD24197,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Ross Playground,CPR23797,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Ross Playground,CPR23797,City Bonds,G.O. Authorization,$0.00,$780000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Ryan Playground,CPR24234,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Ryan Playground,CPR24234,City Bonds,G.O. Authorization,$0.00,$2630000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Safe Routes to Schools,CPW24185,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Safe Routes to Schools,CPW24185,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Savin Hill Park,CPR23862,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Savin Hill Park,CPR23862,City Bonds,G.O. Authorization,$0.00,$265000.00
2016,Education,School Department,School Facilities Master Plan,CPS24060,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,School Facilities Master Plan,CPS24060,City Bonds,G.O. Authorization,$0.00,$1600000.00
2016,Education,School Department,School Yard Improvements at Murphy School,CPS24323,City Bonds,G.O. Authorization,$0.00,$450000.00
2016,Education,School Department,School Yard Improvements at Murphy School,CPS24323,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,Education,School Department,School Yard Repairs,CPS23412,City Bonds,G.O. Authorization,$0.00,$1200000.00
2016,Education,School Department,School Yard Repairs,CPS23412,City Bonds,G.O. Authorization,$0.00,$455500.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Seaver Street,CPW23788,State grant,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Seaver Street,CPW23788,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Seaver Street,CPW23788,State grant,Capital Grants,$0.00,$5800000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Seaver Street,CPW23788,City Bonds,G.O. Authorization,$0.00,$1700000.00
2016,Public Safety,Fire Department,Seawall at Moon Island,CFD23011,City Bonds,G.O. Authorization,$0.00,$1300000.00
2016,Public Safety,Fire Department,Seawall at Moon Island,CFD23011,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,Public Safety,Fire Department,Seawall at Moon Island,CFD23011,City Bonds,G.O. Authorization,$0.00,$1344000.00
2016,Arts & Culture,Library Department,Security Audit Recommendations Implementation,CLD23150,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,Arts & Culture,Library Department,Security Audit Recommendations Implementation,CLD23150,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Security Related Improvements at Various Schools,CPS23855,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,Education,School Department,Security Related Improvements at Various Schools,CPS23855,City Bonds,G.O. Authorization,$0.00,$1500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Sidewalk Reconstruction,CPW22831,State grant,Capital Grants,$0.00,$12000000.00
